start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2022-06-14 00:00:00;2022-06-14 00:01:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:00:00;2022-06-14 00:01:00;1;60;132;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:00:00;2022-06-14 00:01:00;1;0;-1;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:00:00;2022-06-14 00:01:00;1;180;127;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:00:00;2022-06-14 00:01:00;1;360;113;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:01:00;2022-06-14 00:02:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:01:00;2022-06-14 00:02:00;1;0;-1;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:01:00;2022-06-14 00:02:00;1;120;133;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:01:00;2022-06-14 00:02:00;1;300;125;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:01:00;2022-06-14 00:02:00;1;480;109;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:02:00;2022-06-14 00:03:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:02:00;2022-06-14 00:03:00;1;60;127;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:02:00;2022-06-14 00:03:00;1;180;123;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:02:00;2022-06-14 00:03:00;1;300;127;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:02:00;2022-06-14 00:03:00;1;360;92;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:03:00;2022-06-14 00:04:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:03:00;2022-06-14 00:04:00;1;0;-1;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:03:00;2022-06-14 00:04:00;1;300;126;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:03:00;2022-06-14 00:04:00;1;480;112;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:03:00;2022-06-14 00:04:00;1;360;95;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:04:00;2022-06-14 00:05:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:04:00;2022-06-14 00:05:00;1;60;127;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:04:00;2022-06-14 00:05:00;1;180;130;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:04:00;2022-06-14 00:05:00;1;120;127;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:04:00;2022-06-14 00:05:00;1;420;101;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:05:00;2022-06-14 00:06:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:05:00;2022-06-14 00:06:00;1;60;129;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:05:00;2022-06-14 00:06:00;1;240;127;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:05:00;2022-06-14 00:06:00;1;360;111;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:05:00;2022-06-14 00:06:00;1;240;89;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:06:00;2022-06-14 00:07:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:06:00;2022-06-14 00:07:00;1;60;130;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:06:00;2022-06-14 00:07:00;1;180;125;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:06:00;2022-06-14 00:07:00;1;120;116;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:06:00;2022-06-14 00:07:00;1;420;89;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:07:00;2022-06-14 00:08:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:07:00;2022-06-14 00:08:00;1;0;-1;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:07:00;2022-06-14 00:08:00;1;120;131;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:07:00;2022-06-14 00:08:00;1;480;119;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:07:00;2022-06-14 00:08:00;1;600;103;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:08:00;2022-06-14 00:09:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:08:00;2022-06-14 00:09:00;1;0;-1;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:08:00;2022-06-14 00:09:00;1;240;126;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:08:00;2022-06-14 00:09:00;1;180;111;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:08:00;2022-06-14 00:09:00;1;540;112;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:09:00;2022-06-14 00:10:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:09:00;2022-06-14 00:10:00;1;120;119;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:09:00;2022-06-14 00:10:00;1;240;126;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:09:00;2022-06-14 00:10:00;1;660;119;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:09:00;2022-06-14 00:10:00;1;240;85;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:10:00;2022-06-14 00:11:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:10:00;2022-06-14 00:11:00;1;180;129;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:10:00;2022-06-14 00:11:00;1;360;120;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:10:00;2022-06-14 00:11:00;1;300;115;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:10:00;2022-06-14 00:11:00;1;240;94;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:11:00;2022-06-14 00:12:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:11:00;2022-06-14 00:12:00;1;60;132;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:11:00;2022-06-14 00:12:00;1;240;127;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:11:00;2022-06-14 00:12:00;1;300;122;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:11:00;2022-06-14 00:12:00;1;420;106;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:12:00;2022-06-14 00:13:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:12:00;2022-06-14 00:13:00;1;0;-1;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:12:00;2022-06-14 00:13:00;1;240;129;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:12:00;2022-06-14 00:13:00;1;180;121;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:12:00;2022-06-14 00:13:00;1;300;100;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:13:00;2022-06-14 00:14:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:13:00;2022-06-14 00:14:00;1;0;-1;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:13:00;2022-06-14 00:14:00;1;0;-1;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:13:00;2022-06-14 00:14:00;1;60;99;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:13:00;2022-06-14 00:14:00;1;120;106;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:14:00;2022-06-14 00:15:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:14:00;2022-06-14 00:15:00;1;60;134;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:14:00;2022-06-14 00:15:00;1;0;-1;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:14:00;2022-06-14 00:15:00;1;180;120;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:14:00;2022-06-14 00:15:00;1;420;98;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:15:00;2022-06-14 00:16:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:15:00;2022-06-14 00:16:00;1;0;-1;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:15:00;2022-06-14 00:16:00;1;60;134;0021hrr0522ra;5;lane3;52.14953;4.99829
2022-06-14 00:15:00;2022-06-14 00:16:00;1;360;120;0021hrr0522ra;5;lane4;52.14953;4.99829
2022-06-14 00:15:00;2022-06-14 00:16:00;1;480;103;0021hrr0522ra;5;lane5;52.14953;4.99829
2022-06-14 00:16:00;2022-06-14 00:17:00;1;0;-1;0021hrr0522ra;5;lane1;52.14953;4.99829
2022-06-14 00:16:00;2022-06-14 00:17:00;1;0;-1;0021hrr0522ra;5;lane2;52.14953;4.99829
2022-06-14 00:16:00;2022-06-14 00:17:00;1;120;128;0021hrr0522ra;5;lane3;52.14953;4.99829
