start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;data_error_snelheid;data_error_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2019-02-12 00:00:00;2019-02-12 00:01:00;1;0;0;60;116;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:00:00;2019-02-12 00:01:00;1;0;0;360;105;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:01:00;2019-02-12 00:02:00;1;0;0;0;-1;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:01:00;2019-02-12 00:02:00;1;0;0;240;94;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:02:00;2019-02-12 00:03:00;1;0;0;180;115;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:02:00;2019-02-12 00:03:00;1;0;0;300;103;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:03:00;2019-02-12 00:04:00;1;0;0;120;131;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:03:00;2019-02-12 00:04:00;1;0;0;360;118;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:04:00;2019-02-12 00:05:00;1;0;0;120;114;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:04:00;2019-02-12 00:05:00;1;0;0;300;117;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:05:00;2019-02-12 00:06:00;1;0;0;240;133;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:05:00;2019-02-12 00:06:00;1;0;0;420;124;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:06:00;2019-02-12 00:07:00;1;0;0;60;112;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:06:00;2019-02-12 00:07:00;1;0;0;480;105;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:07:00;2019-02-12 00:08:00;1;0;0;60;134;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:07:00;2019-02-12 00:08:00;1;0;0;60;99;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:08:00;2019-02-12 00:09:00;1;0;0;180;129;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:08:00;2019-02-12 00:09:00;1;0;0;360;101;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:09:00;2019-02-12 00:10:00;1;0;0;0;-1;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:09:00;2019-02-12 00:10:00;1;0;0;300;100;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:10:00;2019-02-12 00:11:00;1;0;0;60;119;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:10:00;2019-02-12 00:11:00;1;0;0;360;118;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:11:00;2019-02-12 00:12:00;1;0;0;180;139;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:11:00;2019-02-12 00:12:00;1;0;0;480;113;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:12:00;2019-02-12 00:13:00;1;0;0;180;139;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:12:00;2019-02-12 00:13:00;1;0;0;300;117;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:13:00;2019-02-12 00:14:00;1;0;0;120;150;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:13:00;2019-02-12 00:14:00;1;0;0;300;109;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:14:00;2019-02-12 00:15:00;1;0;0;120;114;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:14:00;2019-02-12 00:15:00;1;0;0;480;108;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:15:00;2019-02-12 00:16:00;1;0;0;120;132;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:15:00;2019-02-12 00:16:00;1;0;0;300;105;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:16:00;2019-02-12 00:17:00;1;0;0;0;-1;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:16:00;2019-02-12 00:17:00;1;0;0;300;124;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:17:00;2019-02-12 00:18:00;1;0;0;60;123;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:17:00;2019-02-12 00:18:00;1;0;0;360;104;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:18:00;2019-02-12 00:19:00;1;0;0;60;119;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:18:00;2019-02-12 00:19:00;1;0;0;420;110;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:19:00;2019-02-12 00:20:00;1;0;0;0;-1;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:19:00;2019-02-12 00:20:00;1;0;0;120;99;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:20:00;2019-02-12 00:21:00;1;0;0;0;-1;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:20:00;2019-02-12 00:21:00;1;0;0;60;119;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:21:00;2019-02-12 00:22:00;1;0;0;180;120;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:21:00;2019-02-12 00:22:00;1;0;0;240;91;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:22:00;2019-02-12 00:23:00;1;0;0;60;121;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:22:00;2019-02-12 00:23:00;1;0;0;360;98;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:23:00;2019-02-12 00:24:00;1;0;0;0;-1;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:23:00;2019-02-12 00:24:00;1;0;0;60;115;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:24:00;2019-02-12 00:25:00;1;0;0;0;-1;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:24:00;2019-02-12 00:25:00;1;0;0;60;97;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:25:00;2019-02-12 00:26:00;1;0;0;60;136;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:25:00;2019-02-12 00:26:00;1;0;0;60;109;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:26:00;2019-02-12 00:27:00;1;0;0;0;-1;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:26:00;2019-02-12 00:27:00;1;0;0;240;111;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:27:00;2019-02-12 00:28:00;1;0;0;0;-1;0201hrr0429ra;2;lane1;51.98118;4.62111
2019-02-12 00:27:00;2019-02-12 00:28:00;1;0;0;180;123;0201hrr0429ra;2;lane2;51.98118;4.62111
2019-02-12 00:28:00;2019-02-12 00:29:00;1;0;0;60;124;0201hrr0429ra;2;lane1;51.98118;4.62111
