start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2019-10-17 00:00:00;2019-10-17 00:01:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-10-17 00:00:00;2019-10-17 00:01:00;1;0;-1;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-10-17 00:00:00;2019-10-17 00:01:00;1;240;98;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-10-17 00:01:00;2019-10-17 00:02:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-10-17 00:01:00;2019-10-17 00:02:00;1;120;114;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-10-17 00:01:00;2019-10-17 00:02:00;1;240;110;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-10-17 00:02:00;2019-10-17 00:03:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-10-17 00:02:00;2019-10-17 00:03:00;1;120;124;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-10-17 00:02:00;2019-10-17 00:03:00;1;120;104;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-10-17 00:03:00;2019-10-17 00:04:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-10-17 00:03:00;2019-10-17 00:04:00;1;120;119;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-10-17 00:03:00;2019-10-17 00:04:00;1;360;109;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-10-17 00:04:00;2019-10-17 00:05:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-10-17 00:04:00;2019-10-17 00:05:00;1;60;123;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-10-17 00:04:00;2019-10-17 00:05:00;1;180;96;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-10-17 00:05:00;2019-10-17 00:06:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-10-17 00:05:00;2019-10-17 00:06:00;1;120;121;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-10-17 00:05:00;2019-10-17 00:06:00;1;480;109;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-10-17 00:06:00;2019-10-17 00:07:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-10-17 00:06:00;2019-10-17 00:07:00;1;120;132;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-10-17 00:06:00;2019-10-17 00:07:00;1;360;104;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-10-17 00:07:00;2019-10-17 00:08:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-10-17 00:07:00;2019-10-17 00:08:00;1;60;149;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-10-17 00:07:00;2019-10-17 00:08:00;1;60;113;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-10-17 00:08:00;2019-10-17 00:09:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-10-17 00:08:00;2019-10-17 00:09:00;1;120;118;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-10-17 00:08:00;2019-10-17 00:09:00;1;300;106;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-10-17 00:09:00;2019-10-17 00:10:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
