start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijrichting;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2019-06-19 00:00:00;2019-06-19 00:01:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:00:00;2019-06-19 00:01:00;1;120;135;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:00:00;2019-06-19 00:01:00;1;240;127;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:00:00;2019-06-19 00:01:00;1;240;112;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:00:00;2019-06-19 00:01:00;1;240;100;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:00:00;2019-06-19 00:01:00;1;60;105;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:01:00;2019-06-19 00:02:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:01:00;2019-06-19 00:02:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:01:00;2019-06-19 00:02:00;1;240;128;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:01:00;2019-06-19 00:02:00;1;240;116;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:01:00;2019-06-19 00:02:00;1;300;103;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:01:00;2019-06-19 00:02:00;1;120;116;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:02:00;2019-06-19 00:03:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:02:00;2019-06-19 00:03:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:02:00;2019-06-19 00:03:00;1;120;129;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:02:00;2019-06-19 00:03:00;1;240;121;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:02:00;2019-06-19 00:03:00;1;240;101;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:02:00;2019-06-19 00:03:00;1;0;-1;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:03:00;2019-06-19 00:04:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:03:00;2019-06-19 00:04:00;1;60;125;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:03:00;2019-06-19 00:04:00;1;60;122;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:03:00;2019-06-19 00:04:00;1;420;107;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:03:00;2019-06-19 00:04:00;1;420;98;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
