id_meetlocatie,versie_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,incomplete_waarnemingen_intensiteit,incomplete_waarnemingen_snelheid,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,gebruikte_rekenmethode_intensiteit,gebruikte_rekenmethode_snelheid,spreiding_intensiteit,spreiding_snelheid,kwaliteitsindicator_intensiteit,kwaliteitsindicator_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,standaard_rekenmethode,gebruikte_meetapparatuur,naam_meetlocatie_mst,totaal_aantal_rijstroken,rijrichting,nauwkeurigheid,meetperiode,rijstrook_rijbaan,voertuigcategorie,start_locatie_latitude,start_locatie_longitude,landcode,versie_vild,subversie_vild,richting_in_vild,locatiecode_vild,afstand_tot_vild_locatie,wegnummer_vild,wegnaam_vild,1e_naam_vild,2e_naam_vild,specifieke_baan,naam_meetlocatie,voorganger,opvolger,locatie_latitude_openlr,locatie_longitude_openlr,positie_tov_weg,positie_tov_rijrichting,afstand_vanaf_het_referentiepunt,wegclassificatie_1,wegclassificatie_2,hoek_graden_van_ref_punt_naar_exacte_loc,laagste_wegclassificatie,afstand_tussen_eerste_en_laatste_punt_ref_lijn,starttijd_leveringsperiode,gecalculeerde_starttijd_leveringsperiode,type_referentiewaarde,referentiewaarde_gem_intensiteit,referentiewaarde_gem_snelheid
RWS01_MONIBAS_0131hrr0132ra,1,F1A,2019-10-15 00:00:00,2019-10-15 00:15:00,0.0,0.0,0.0,0.0,15.0,1.0,,,,,,,0,0,4,136.0,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0132ra,1,F3A,2019-10-15 00:00:00,2019-10-15 00:15:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,172,114.7,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane2,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0132ra,1,F5A,2019-10-15 00:00:00,2019-10-15 00:15:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,380,100.77,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane3,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0132ra,1,F1A,2019-10-15 00:15:00,2019-10-15 00:30:00,0.0,0.0,0.0,0.0,15.0,0.0,,,,,,,0,0,0,-1.0,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0132ra,1,F3A,2019-10-15 00:15:00,2019-10-15 00:30:00,0.0,0.0,0.0,0.0,15.0,14.0,,,,,,,0,0,156,116.25,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane2,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0132ra,1,F5A,2019-10-15 00:15:00,2019-10-15 00:30:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,356,100.92,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane3,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0132ra,1,F1A,2019-10-15 00:30:00,2019-10-15 00:45:00,0.0,0.0,0.0,0.0,15.0,4.0,,,,,,,0,0,20,141.51,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0132ra,1,F3A,2019-10-15 00:30:00,2019-10-15 00:45:00,0.0,0.0,0.0,0.0,15.0,13.0,,,,,,,0,0,160,114.51,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane2,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0132ra,1,F5A,2019-10-15 00:30:00,2019-10-15 00:45:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,352,98.93,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane3,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0132ra,1,F1A,2019-10-15 00:45:00,2019-10-15 01:00:00,0.0,0.0,0.0,0.0,15.0,3.0,,,,,,,0,0,12,136.08,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0132ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.97899,4.39632,8,5.18,A,negative,7407,2700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 13.2,,,,,,,,,,,,,,,,,
