start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;afstand_tot_vild_locatie
2022-06-21 00:00:00;2022-06-21 00:01:00;1;120;136;0131hrr0107ra;200
2022-06-21 00:00:00;2022-06-21 00:01:00;1;180;130;0131hrr0107ra;200
2022-06-21 00:00:00;2022-06-21 00:01:00;1;480;99;0131hrr0107ra;200
2022-06-21 00:01:00;2022-06-21 00:02:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:01:00;2022-06-21 00:02:00;1;180;112;0131hrr0107ra;200
2022-06-21 00:01:00;2022-06-21 00:02:00;1;420;105;0131hrr0107ra;200
2022-06-21 00:02:00;2022-06-21 00:03:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:02:00;2022-06-21 00:03:00;1;300;122;0131hrr0107ra;200
2022-06-21 00:02:00;2022-06-21 00:03:00;1;240;111;0131hrr0107ra;200
2022-06-21 00:03:00;2022-06-21 00:04:00;1;60;130;0131hrr0107ra;200
2022-06-21 00:03:00;2022-06-21 00:04:00;1;180;125;0131hrr0107ra;200
2022-06-21 00:03:00;2022-06-21 00:04:00;1;540;102;0131hrr0107ra;200
2022-06-21 00:04:00;2022-06-21 00:05:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:04:00;2022-06-21 00:05:00;1;360;120;0131hrr0107ra;200
2022-06-21 00:04:00;2022-06-21 00:05:00;1;540;101;0131hrr0107ra;200
2022-06-21 00:05:00;2022-06-21 00:06:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:05:00;2022-06-21 00:06:00;1;120;133;0131hrr0107ra;200
2022-06-21 00:05:00;2022-06-21 00:06:00;1;420;113;0131hrr0107ra;200
2022-06-21 00:06:00;2022-06-21 00:07:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:06:00;2022-06-21 00:07:00;1;180;121;0131hrr0107ra;200
2022-06-21 00:06:00;2022-06-21 00:07:00;1;480;100;0131hrr0107ra;200
2022-06-21 00:07:00;2022-06-21 00:08:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:07:00;2022-06-21 00:08:00;1;300;116;0131hrr0107ra;200
2022-06-21 00:07:00;2022-06-21 00:08:00;1;480;99;0131hrr0107ra;200
2022-06-21 00:08:00;2022-06-21 00:09:00;1;60;134;0131hrr0107ra;200
2022-06-21 00:08:00;2022-06-21 00:09:00;1;360;123;0131hrr0107ra;200
2022-06-21 00:08:00;2022-06-21 00:09:00;1;300;107;0131hrr0107ra;200
2022-06-21 00:09:00;2022-06-21 00:10:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:09:00;2022-06-21 00:10:00;1;60;102;0131hrr0107ra;200
2022-06-21 00:09:00;2022-06-21 00:10:00;1;360;95;0131hrr0107ra;200
2022-06-21 00:10:00;2022-06-21 00:11:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:10:00;2022-06-21 00:11:00;1;240;119;0131hrr0107ra;200
2022-06-21 00:10:00;2022-06-21 00:11:00;1;240;91;0131hrr0107ra;200
2022-06-21 00:11:00;2022-06-21 00:12:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:11:00;2022-06-21 00:12:00;1;180;109;0131hrr0107ra;200
2022-06-21 00:11:00;2022-06-21 00:12:00;1;480;99;0131hrr0107ra;200
2022-06-21 00:12:00;2022-06-21 00:13:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:12:00;2022-06-21 00:13:00;1;60;115;0131hrr0107ra;200
2022-06-21 00:12:00;2022-06-21 00:13:00;1;420;104;0131hrr0107ra;200
2022-06-21 00:13:00;2022-06-21 00:14:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:13:00;2022-06-21 00:14:00;1;120;123;0131hrr0107ra;200
2022-06-21 00:13:00;2022-06-21 00:14:00;1;420;101;0131hrr0107ra;200
2022-06-21 00:14:00;2022-06-21 00:15:00;1;60;129;0131hrr0107ra;200
2022-06-21 00:14:00;2022-06-21 00:15:00;1;420;121;0131hrr0107ra;200
2022-06-21 00:14:00;2022-06-21 00:15:00;1;480;96;0131hrr0107ra;200
2022-06-21 00:15:00;2022-06-21 00:16:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:15:00;2022-06-21 00:16:00;1;180;140;0131hrr0107ra;200
2022-06-21 00:15:00;2022-06-21 00:16:00;1;300;96;0131hrr0107ra;200
2022-06-21 00:16:00;2022-06-21 00:17:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:16:00;2022-06-21 00:17:00;1;240;106;0131hrr0107ra;200
2022-06-21 00:16:00;2022-06-21 00:17:00;1;300;98;0131hrr0107ra;200
2022-06-21 00:17:00;2022-06-21 00:18:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:17:00;2022-06-21 00:18:00;1;360;124;0131hrr0107ra;200
2022-06-21 00:17:00;2022-06-21 00:18:00;1;300;110;0131hrr0107ra;200
2022-06-21 00:18:00;2022-06-21 00:19:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:18:00;2022-06-21 00:19:00;1;300;103;0131hrr0107ra;200
2022-06-21 00:18:00;2022-06-21 00:19:00;1;600;100;0131hrr0107ra;200
2022-06-21 00:19:00;2022-06-21 00:20:00;1;0;-1;0131hrr0107ra;200
2022-06-21 00:19:00;2022-06-21 00:20:00;1;540;117;0131hrr0107ra;200
2022-06-21 00:19:00;2022-06-21 00:20:00;1;240;87;0131hrr0107ra;200
