start_meetperiode,eind_meetperiode,gebruikte_minuten_intensiteit,naam_meetlocatie_mst,afstand_tot_vild_locatie,gem_snelheid,gem_intensiteit,idDect
2019-10-15 00:00:00,2019-10-15 00:01:00,1,0131hrr0132ra,2700,117,120,5046
2019-10-15 00:00:00,2019-10-15 00:01:00,1,0131hrr0132ra,2700,-1,0,5047
2019-10-15 00:00:00,2019-10-15 00:01:00,1,0131hrr0132ra,2700,-1,0,5048
2019-10-15 00:01:00,2019-10-15 00:02:00,1,0131hrr0132ra,2700,101,780,5046
2019-10-15 00:01:00,2019-10-15 00:02:00,1,0131hrr0132ra,2700,112,360,5047
2019-10-15 00:01:00,2019-10-15 00:02:00,1,0131hrr0132ra,2700,-1,0,5048
2019-10-15 00:02:00,2019-10-15 00:03:00,1,0131hrr0132ra,2700,110,720,5046
2019-10-15 00:02:00,2019-10-15 00:03:00,1,0131hrr0132ra,2700,115,360,5047
2019-10-15 00:02:00,2019-10-15 00:03:00,1,0131hrr0132ra,2700,127,60,5048
2019-10-15 00:03:00,2019-10-15 00:04:00,1,0131hrr0132ra,2700,107,780,5046
2019-10-15 00:03:00,2019-10-15 00:04:00,1,0131hrr0132ra,2700,114,180,5047
2019-10-15 00:03:00,2019-10-15 00:04:00,1,0131hrr0132ra,2700,119,60,5048
2019-10-15 00:04:00,2019-10-15 00:05:00,1,0131hrr0132ra,2700,107,720,5046
2019-10-15 00:04:00,2019-10-15 00:05:00,1,0131hrr0132ra,2700,117,300,5047
2019-10-15 00:04:00,2019-10-15 00:05:00,1,0131hrr0132ra,2700,-1,0,5048
2019-10-15 00:05:00,2019-10-15 00:06:00,1,0131hrr0132ra,2700,104,840,5046
2019-10-15 00:05:00,2019-10-15 00:06:00,1,0131hrr0132ra,2700,112,300,5047
2019-10-15 00:05:00,2019-10-15 00:06:00,1,0131hrr0132ra,2700,-1,0,5048
2019-10-15 00:06:00,2019-10-15 00:07:00,1,0131hrr0132ra,2700,106,600,5046
2019-10-15 00:06:00,2019-10-15 00:07:00,1,0131hrr0132ra,2700,119,420,5047
2019-10-15 00:06:00,2019-10-15 00:07:00,1,0131hrr0132ra,2700,111,60,5048
2019-10-15 00:07:00,2019-10-15 00:08:00,1,0131hrr0132ra,2700,105,660,5046
2019-10-15 00:07:00,2019-10-15 00:08:00,1,0131hrr0132ra,2700,113,300,5047
2019-10-15 00:07:00,2019-10-15 00:08:00,1,0131hrr0132ra,2700,122,60,5048
2019-10-15 00:08:00,2019-10-15 00:09:00,1,0131hrr0132ra,2700,107,900,5046
2019-10-15 00:08:00,2019-10-15 00:09:00,1,0131hrr0132ra,2700,119,240,5047
2019-10-15 00:08:00,2019-10-15 00:09:00,1,0131hrr0132ra,2700,-1,0,5048
2019-10-15 00:09:00,2019-10-15 00:10:00,1,0131hrr0132ra,2700,106,660,5046
2019-10-15 00:09:00,2019-10-15 00:10:00,1,0131hrr0132ra,2700,117,360,5047
2019-10-15 00:09:00,2019-10-15 00:10:00,1,0131hrr0132ra,2700,-1,0,5048
2019-10-15 00:10:00,2019-10-15 00:11:00,1,0131hrr0132ra,2700,106,720,5046
2019-10-15 00:10:00,2019-10-15 00:11:00,1,0131hrr0132ra,2700,119,360,5047
2019-10-15 00:10:00,2019-10-15 00:11:00,1,0131hrr0132ra,2700,-1,0,5048
2019-10-15 00:11:00,2019-10-15 00:12:00,1,0131hrr0132ra,2700,99,600,5046
2019-10-15 00:11:00,2019-10-15 00:12:00,1,0131hrr0132ra,2700,115,480,5047
2019-10-15 00:11:00,2019-10-15 00:12:00,1,0131hrr0132ra,2700,113,60,5048
2019-10-15 00:12:00,2019-10-15 00:13:00,1,0131hrr0132ra,2700,104,720,5046
2019-10-15 00:12:00,2019-10-15 00:13:00,1,0131hrr0132ra,2700,113,360,5047
2019-10-15 00:12:00,2019-10-15 00:13:00,1,0131hrr0132ra,2700,126,60,5048
2019-10-15 00:13:00,2019-10-15 00:14:00,1,0131hrr0132ra,2700,111,660,5046
2019-10-15 00:13:00,2019-10-15 00:14:00,1,0131hrr0132ra,2700,121,420,5047
2019-10-15 00:13:00,2019-10-15 00:14:00,1,0131hrr0132ra,2700,-1,0,5048
2019-10-15 00:14:00,2019-10-15 00:15:00,1,0131hrr0132ra,2700,114,780,5046
2019-10-15 00:14:00,2019-10-15 00:15:00,1,0131hrr0132ra,2700,119,240,5047
