start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2022-04-13 00:00:00;2022-04-13 00:01:00;1;120;92;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-04-13 00:00:00;2022-04-13 00:01:00;1;840;77;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-04-13 00:00:00;2022-04-13 00:01:00;1;0;-1;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-04-13 00:01:00;2022-04-13 00:02:00;1;120;112;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-04-13 00:01:00;2022-04-13 00:02:00;1;540;79;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-04-13 00:01:00;2022-04-13 00:02:00;1;0;-1;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-04-13 00:02:00;2022-04-13 00:03:00;1;480;95;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-04-13 00:02:00;2022-04-13 00:03:00;1;660;75;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-04-13 00:02:00;2022-04-13 00:03:00;1;0;-1;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-04-13 00:03:00;2022-04-13 00:04:00;1;60;113;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-04-13 00:03:00;2022-04-13 00:04:00;1;960;75;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-04-13 00:03:00;2022-04-13 00:04:00;1;0;-1;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-04-13 00:04:00;2022-04-13 00:05:00;1;480;101;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-04-13 00:04:00;2022-04-13 00:05:00;1;840;84;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-04-13 00:04:00;2022-04-13 00:05:00;1;0;-1;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-04-13 00:05:00;2022-04-13 00:06:00;1;120;109;0201hrr0395ra;3;lane1;51.96308;4.58063
