start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2022-05-20 00:00:00;2022-05-20 00:01:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:00:00;2022-05-20 00:01:00;1;120;108;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:00:00;2022-05-20 00:01:00;1;300;96;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:01:00;2022-05-20 00:02:00;1;60;123;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:01:00;2022-05-20 00:02:00;1;600;115;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:01:00;2022-05-20 00:02:00;1;720;99;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:02:00;2022-05-20 00:03:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:02:00;2022-05-20 00:03:00;1;180;118;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:02:00;2022-05-20 00:03:00;1;660;110;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:03:00;2022-05-20 00:04:00;1;60;135;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:03:00;2022-05-20 00:04:00;1;240;120;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:03:00;2022-05-20 00:04:00;1;300;105;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:04:00;2022-05-20 00:05:00;1;60;133;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:04:00;2022-05-20 00:05:00;1;180;116;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:04:00;2022-05-20 00:05:00;1;180;115;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:05:00;2022-05-20 00:06:00;1;60;128;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:05:00;2022-05-20 00:06:00;1;360;121;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:05:00;2022-05-20 00:06:00;1;480;115;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:06:00;2022-05-20 00:07:00;1;60;131;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:06:00;2022-05-20 00:07:00;1;60;99;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:06:00;2022-05-20 00:07:00;1;480;109;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:07:00;2022-05-20 00:08:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:07:00;2022-05-20 00:08:00;1;360;119;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:07:00;2022-05-20 00:08:00;1;360;110;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:08:00;2022-05-20 00:09:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:08:00;2022-05-20 00:09:00;1;240;117;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:08:00;2022-05-20 00:09:00;1;480;103;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:09:00;2022-05-20 00:10:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:09:00;2022-05-20 00:10:00;1;120;122;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:09:00;2022-05-20 00:10:00;1;600;112;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:10:00;2022-05-20 00:11:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:10:00;2022-05-20 00:11:00;1;180;131;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:10:00;2022-05-20 00:11:00;1;540;115;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:11:00;2022-05-20 00:12:00;1;60;128;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:11:00;2022-05-20 00:12:00;1;180;122;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:11:00;2022-05-20 00:12:00;1;180;103;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:12:00;2022-05-20 00:13:00;1;120;108;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:12:00;2022-05-20 00:13:00;1;420;110;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:12:00;2022-05-20 00:13:00;1;540;101;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:13:00;2022-05-20 00:14:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:13:00;2022-05-20 00:14:00;1;360;121;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:13:00;2022-05-20 00:14:00;1;360;94;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:14:00;2022-05-20 00:15:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:14:00;2022-05-20 00:15:00;1;240;127;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:14:00;2022-05-20 00:15:00;1;480;106;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:15:00;2022-05-20 00:16:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:15:00;2022-05-20 00:16:00;1;240;120;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:15:00;2022-05-20 00:16:00;1;240;108;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:16:00;2022-05-20 00:17:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:16:00;2022-05-20 00:17:00;1;240;115;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:16:00;2022-05-20 00:17:00;1;240;98;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:17:00;2022-05-20 00:18:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:17:00;2022-05-20 00:18:00;1;240;119;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:17:00;2022-05-20 00:18:00;1;300;93;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:18:00;2022-05-20 00:19:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:18:00;2022-05-20 00:19:00;1;60;130;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:18:00;2022-05-20 00:19:00;1;240;105;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:19:00;2022-05-20 00:20:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:19:00;2022-05-20 00:20:00;1;180;124;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:19:00;2022-05-20 00:20:00;1;300;104;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:20:00;2022-05-20 00:21:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:20:00;2022-05-20 00:21:00;1;120;111;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:20:00;2022-05-20 00:21:00;1;480;117;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:21:00;2022-05-20 00:22:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:21:00;2022-05-20 00:22:00;1;60;106;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:21:00;2022-05-20 00:22:00;1;360;119;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:22:00;2022-05-20 00:23:00;1;120;118;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:22:00;2022-05-20 00:23:00;1;240;110;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:22:00;2022-05-20 00:23:00;1;540;95;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:23:00;2022-05-20 00:24:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:23:00;2022-05-20 00:24:00;1;240;144;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:23:00;2022-05-20 00:24:00;1;300;115;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:24:00;2022-05-20 00:25:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:24:00;2022-05-20 00:25:00;1;120;112;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:24:00;2022-05-20 00:25:00;1;240;112;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:25:00;2022-05-20 00:26:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:25:00;2022-05-20 00:26:00;1;60;159;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:25:00;2022-05-20 00:26:00;1;300;98;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:26:00;2022-05-20 00:27:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:26:00;2022-05-20 00:27:00;1;240;141;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:26:00;2022-05-20 00:27:00;1;300;120;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:27:00;2022-05-20 00:28:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:27:00;2022-05-20 00:28:00;1;180;138;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:27:00;2022-05-20 00:28:00;1;480;109;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:28:00;2022-05-20 00:29:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:28:00;2022-05-20 00:29:00;1;120;109;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:28:00;2022-05-20 00:29:00;1;360;106;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:29:00;2022-05-20 00:30:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:29:00;2022-05-20 00:30:00;1;120;112;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:29:00;2022-05-20 00:30:00;1;360;114;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:30:00;2022-05-20 00:31:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:30:00;2022-05-20 00:31:00;1;0;-1;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:30:00;2022-05-20 00:31:00;1;420;108;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:31:00;2022-05-20 00:32:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:31:00;2022-05-20 00:32:00;1;60;119;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:31:00;2022-05-20 00:32:00;1;180;111;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:32:00;2022-05-20 00:33:00;1;60;152;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:32:00;2022-05-20 00:33:00;1;120;138;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:32:00;2022-05-20 00:33:00;1;420;110;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:33:00;2022-05-20 00:34:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:33:00;2022-05-20 00:34:00;1;120;131;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:33:00;2022-05-20 00:34:00;1;540;104;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:34:00;2022-05-20 00:35:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:34:00;2022-05-20 00:35:00;1;240;131;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:34:00;2022-05-20 00:35:00;1;300;103;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:35:00;2022-05-20 00:36:00;1;60;172;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:35:00;2022-05-20 00:36:00;1;60;125;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:35:00;2022-05-20 00:36:00;1;240;113;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:36:00;2022-05-20 00:37:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:36:00;2022-05-20 00:37:00;1;180;147;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:36:00;2022-05-20 00:37:00;1;420;100;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:37:00;2022-05-20 00:38:00;1;120;139;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:37:00;2022-05-20 00:38:00;1;240;111;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:37:00;2022-05-20 00:38:00;1;540;102;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:38:00;2022-05-20 00:39:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:38:00;2022-05-20 00:39:00;1;120;114;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:38:00;2022-05-20 00:39:00;1;240;99;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:39:00;2022-05-20 00:40:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:39:00;2022-05-20 00:40:00;1;60;135;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:39:00;2022-05-20 00:40:00;1;240;110;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:40:00;2022-05-20 00:41:00;1;60;160;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:40:00;2022-05-20 00:41:00;1;60;145;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:40:00;2022-05-20 00:41:00;1;360;120;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:41:00;2022-05-20 00:42:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:41:00;2022-05-20 00:42:00;1;120;104;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:41:00;2022-05-20 00:42:00;1;180;112;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:42:00;2022-05-20 00:43:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:42:00;2022-05-20 00:43:00;1;60;121;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:42:00;2022-05-20 00:43:00;1;180;121;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:43:00;2022-05-20 00:44:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:43:00;2022-05-20 00:44:00;1;60;126;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:43:00;2022-05-20 00:44:00;1;180;105;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:44:00;2022-05-20 00:45:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:44:00;2022-05-20 00:45:00;1;60;134;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:44:00;2022-05-20 00:45:00;1;180;107;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:45:00;2022-05-20 00:46:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:45:00;2022-05-20 00:46:00;1;0;-1;0201hrr0395ra;3;lane2;51.96308;4.58063
2022-05-20 00:45:00;2022-05-20 00:46:00;1;480;101;0201hrr0395ra;3;lane3;51.96308;4.58063
2022-05-20 00:46:00;2022-05-20 00:47:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2022-05-20 00:46:00;2022-05-20 00:47:00;1;60;113;0201hrr0395ra;3;lane2;51.96308;4.58063
